"","BLUSH","DAISY","EAGLE","ELBOW","FENCE","FILMS","FLAGS","FOGGY","HUMAN","HUMOR","IMAGE","INTRO","IVORY","JUROR","KAYAK","LAKES","LASSO","LILAC","MAGIC","NURSE","ORBIT","PATCH","POETS","RADIO","RELIC","REMIX","RODEO","SCOPE","SHAWL","TANGO","TOPAZ","VENUE","VIDEO","VISTA","WALTZ","XEROX"
"FGA",0.0440081005,-0.1896371425,-0.1486566435,0.183581992,0.267429904,0.2044805135,0.033826771,0.1346607715,0.1290376695,0.101878334,0.425054303,0.175483513,0.30987341,0.2478281075,0.082757313,0.162763199,0.232823783,0.81908215,0.248936745,-0.3936742055,-0.044781536,0.540142458,-0.416189764,0.2084567075,-0.146410373,0.072767254,-0.1258063565,-0.0388132615,0.1181544465,0.0406450505,-0.1433372175,0.2652142585,0.285110328,0.219604313,0.906256984,0.176588858
"FGF1",-0.235348076,0.184365864,0.188982484,-0.44104887,0.026872016,0.420089118,0.20685707,0.161197237,0,0.198161669,0.204920978,-0.345917591,0.059064412,-0.121294075,0.108492437,0.221279145,0.12593449,0.152960014,0.157088709,0.166078279,-0.220286701,0.407577158,-0.107137396,-0.300192165,-0.371235477,-0.215773744,0.116851493,-0.076501754,-0.058253365,-0.044608618,-0.369369326,-0.192901337,0.128392119,0.03812879,0.156296376,-0.153423768
"FGF10",0.4969964,0.162056758,-0.231207977,0.380755068,-0.052081546,-0.209572117,-0.072918831,0.04397936,-0.306787356,-0.441442104,-0.579172413,0.169748644,-0.010701924,0.459767356,-0.403163399,-0.436368795,-0.10172703,0.310600089,-0.096243233,-0.326248042,0.078451257,-0.132501017,0.278493624,0.565205492,0.365297395,0.045379904,0.131625795,-0.289667731,0.110942942,-0.02828155,0.612510023,0.211841918,0.29417565,-0.307351419,0.456577622,0.196638363
"FGF12",-0.108165979,0.01472546,-0.022630974,0.674357477,0.056073494,0.201785732,0.298179492,0.353137241,-0.085994552,-0.483892119,0.011100993,-0.253072519,0.125079808,0.160010194,-0.059263348,-0.087835706,0.165555871,0.289173912,-0.437575474,-0.020084246,-0.215178931,0.252799184,-0.066597749,-0.011900219,-0.192531654,0.049045345,0.22155777,0.029032294,-0.023469877,-0.06275144,-0.048485372,-0.061096574,0.262170775,-0.106335506,0.259749104,-0.081858269
"FGF16",1.367215941,-0.126462656,-1.023251067,1.521771856,-0.790540876,-1.040474268,-0.348570208,-0.766845477,-0.336731051,-1.173453347,-1.587156714,1.847669235,0.377529253,0.948924222,-0.788663656,-1.654176433,-0.222983245,0.084301567,-0.104568915,-0.852319899,0.863928906,-1.52612872,0.520125375,1.979583502,2.154960067,0.696342298,0.488242663,-0.076011145,1.221440788,0.318548934,1.799931985,0.575283857,-0.018237329,-1.02500536,-0.069089503,1.077216142
"FGF17",-0.185894738,0.069412223,0.452848968,-0.533346307,0.0768936,0.270920698,0.14482079,0.162566382,0.02437693,-0.092347343,0.219702562,-0.259923014,0.080657663,-0.21290911,0.119865647,0.162953393,0.054019853,0.110029235,0.146132505,0.09523424,-0.202582145,0.227207294,-0.096270684,-0.222504367,-0.340842707,-0.128340416,0.047254062,-0.042322089,-0.09461143,-0.08696242,-0.363375379,-0.141835444,0.208077824,-0.073383913,0.089383504,-0.112219427
"FGF18",-0.364581225,0.227805918,0.10813823,-0.260275906,-0.000531337,0.372822086,0.118160031,0.209865323,0.048463316,-0.070480641,0.280848903,-0.45225721,0.081811649,-0.234493051,0.092123446,0.026748299,0.115706584,0.148657826,0.087783049,0.112651173,-0.179099249,0.440118336,-0.045993346,-0.247663446,-0.296273619,-0.298576589,-0.061174115,-0.20469042,-0.159250731,-0.070073234,-0.359914189,-0.314277274,-0.07578132,-0.083860605,-0.08590771,-0.09685298
"FGF19",-0.760636329,0.979669779,-0.105076948,-0.75714261,2.041519857,1.051745119,0.747376398,0.411404873,0.42539999,0.328708473,1.024627768,-1.459957682,1.100450264,-0.395931373,0.597993826,0.61400753,1.224717796,0.27754924,1.356415822,-1.122673855,1.529303613,1.24221986,0.400241945,-0.512397156,-0.230320268,-0.192056745,0.053408799,0.253127957,0.267619692,-0.428842505,-1.616638705,0.503368408,1.004033432,0.686874546,-1.125770964,1.718507732
"FGF2",-0.431616298,-0.106415697,-0.791108879,0.299985542,-0.44072047,-1.02752983,0.531199607,0.536978867,-0.481687134,-0.227543497,-0.669328796,-0.996109113,-0.08636083,0.469170373,-0.457666416,0.457438749,0.019141091,-0.409420181,-0.396077834,1.444509364,0.493006091,-0.121132493,-0.400133517,-0.460550035,-0.473940963,-0.23036051,-0.876372757,-0.108415861,0.077962881,0.249635373,-1.055751327,0.511433073,0.183003554,-0.234045826,-0.251030297,-0.700018893
"FGF20",0.554715227,0.101373232,0.054460093,-0.106095359,-0.053909164,0.209680944,0.137837069,-0.126513451,0.005282896,0.077691958,-0.131840054,0.319345611,0.094974772,-0.117711628,-0.031127675,-0.356721462,0.032478726,0.018961089,0.150025444,-0.054113139,-0.122647495,-0.024263644,0.101674184,0.1339093,-0.187035492,0.188231157,0.419579835,-0.009114046,0.288616851,0.169029631,-0.029160046,-0.284785116,-0.049903135,-0.215473847,0.052977107,0.286480609
"FGF23",1.233874337,-0.12043916,0.270611141,-0.580336992,-0.023018507,0.942163288,0.684236318,0.460374534,-0.110087329,-0.119665238,0.689542065,-0.156342029,0.109003247,-0.890504293,0.273665008,0.286923221,0.182726384,-0.466489031,0.045080914,0.426663094,-0.240213445,-0.013751058,0.254277884,-0.16263207,-0.587566951,-0.179583695,0.086578566,0.084139819,0.786303904,0.013978043,-0.889025152,-0.154618597,-0.018877652,0.167532202,0.19742074,-0.322803074
"FGF4",0.75335272,-0.05260507,0.207776788,1.281323413,-0.184299747,-0.667424661,-0.239621755,-0.086283687,-0.387023123,-0.580368972,-0.948530985,0.702987706,0.273018494,1.068640703,-0.629985553,-0.886923093,-0.007911701,0.173975001,-0.326421698,-0.22098331,0.220874426,-0.384614955,-0.012246745,0.834409781,0.979799515,0.088222621,0.030720143,-0.216895125,0.207478524,0.240802801,1.001175503,0.555980835,0.6959145,-0.337096671,0.608548396,0.286399034
"FGF5",-0.022548074,-0.071373663,0.113120526,-0.069654769,-0.017665367,0.167810007,0.113499181,-0.045982251,0.040027647,0.165604059,0.805146918,0.41812168,-0.058168037,-0.196584149,-0.092919962,0.367713669,-0.009771557,0.120183371,0.037146621,-0.011909287,-0.088319067,0.002996252,-0.123183127,-0.21185299,-0.448720057,-0.007035313,-0.136355947,-0.008306402,-0.127542414,-0.097047252,-0.383648705,0.03723672,0.0126824,-0.040990609,-0.033375456,-0.122771466
"FGF6",1.422308061,-0.092851675,-0.869002878,1.799587993,-0.555866882,-1.077059151,-0.160256175,-0.530826152,-0.307936003,-1.125664856,-1.681100418,1.514616174,0.337888052,1.032825319,-0.877794751,-1.486944688,-0.169648512,0.157802002,-0.179105079,-0.902511514,0.604544971,-1.209977635,0.4501889,1.940050713,1.744958385,0.49109617,0.411498796,-0.143048643,0.891497576,0.245703598,1.578323888,0.599302368,0.372058205,-0.899672096,0.22665377,0.967939861
"FGF7",1.122044202,-0.076446933,-0.634507436,1.229053528,-0.139293988,-0.760183329,0.173770345,-0.414903168,-0.284566736,-0.916509031,-1.12085347,1.30328592,0.472923315,0.686807691,-0.627734494,-1.082260072,-0.114471125,0.180572246,0.022374984,-0.784615072,0.441848549,-1.115053176,0.400831085,1.516286472,1.178934862,0.50512297,0.659424504,0.099709951,1.01324708,0.300681306,1.177566052,0.338080491,0.287599494,-0.570120004,0.183390824,0.919966349
"FGF8",1.115855712,-0.082507426,-0.0379172545,1.127490565,-0.2866390545,-0.462551771,-0.003419256,-0.4822235755,-0.1431843355,-0.812868801,-0.975483127,1.1840705895,0.163375596,0.5039016785,-0.4703224675,-1.109645681,-0.130138663,0.0424930125,-0.153183078,-0.6668390975,0.2749722495,-0.8719376205,0.424099273,1.1235616525,0.936488167,0.4544941665,0.420471956,0.0428886845,0.6680500455,0.083104355,0.955238199,0.301853314,0.115437919,-0.5145809705,0.264254661,0.7167952665
"FGF9",0.001549452,0.016948908,0.201063134,-0.478542062,-0.148409251,0.277240596,0.15495675,-0.033350358,0.008109931,0.062284278,0.120257794,-0.075624389,0.122994646,-0.366327219,-0.107796069,-0.073694027,0.047315352,0.259550235,0.039400851,0.016041054,-0.113363268,0.23042674,0.026945306,-0.179058523,-0.308408473,-0.138224301,0.199185452,0.018284709,0.086959715,-0.017038855,-0.353543887,-0.398052583,0.050636001,-0.140830503,0.046547193,0.091566445
"FGFR1",0.214395136,0.11817121,0.180063872,0.149782317,0.178915055,0.350745165,0.307367733,-0.091457829,0.216321405,0.123840032,0.018168566,-0.279088439,0.181352696,-0.191787467,0.387364332,0.125367358,0.142222662,0.282812434,0.665858137,-0.239835145,-0.099264598,0.635444764,0.211578513,0.137930624,-0.008805463,-0.1653781,0.310045286,0.277300165,0.332602145,0.061493354,-0.366043966,-0.119203169,-0.207452749,0.307992788,0.078671188,0.459599259
"FGFR2",-0.246225579,0.143880704,-0.046609921,-0.422905743,0.147580596,0.50600551,0.288602713,0.223658499,-0.106812356,0.204680389,0.073569218,0.432986434,-0.098095955,-0.365108919,0.148461224,0.231158732,0.026939827,-0.067638717,0.081733342,-0.041481005,-0.31245543,0.540520393,0.136351996,-0.216935516,-0.975645882,-0.202303531,0.288618805,-0.002632656,-0.166308316,-0.191722816,-0.343251487,-0.125364663,0.057092505,-0.006880414,-0.063444229,0.177645087
"FGFR3",0.057933524,-0.262610386,0.092148667,0.09674516,0.232696319,0.152765071,0.074081162,-0.000683256,-0.090854264,-0.010558693,0.001188218,0.385724217,-0.040543728,-0.165022234,0.037076609,0.055150177,-0.127427801,0.16172706,-0.038065344,-0.177139954,-0.275987564,-0.120294234,0.179196153,0.049428523,-0.63041443,-0.100025304,-0.074652214,-0.006327065,-0.087548937,-0.139877959,-0.058389772,-0.076370988,0.064292855,-0.042697763,0.135371503,-0.162072245
"FGFR4",0.60607172,-0.072553628,-0.006991267,0.268738332,-0.038955048,0.106378832,0.030393399,0.039777945,0.021400687,0.142191562,0.258479445,1.071788436,0.200212892,-0.019285144,-0.21094448,-0.391502978,-0.255454393,-0.020819949,-0.075031853,-0.810284439,0.059067497,-0.500807699,0.257730688,0.659026149,-0.356898655,0.224816247,0.324033242,-0.080517379,0.382338714,-0.039689239,0.068647672,-0.229110005,0.073735591,-0.22946909,0.002900862,0.250069176
"FGG",0.049320296,-0.282249436,-0.128767222,0.136237441,0.187042787,0.177371835,-0.011033181,0.089844646,0.154542713,0.216165961,0.53281169,0.169534304,0.343786085,0.218032929,0.243495032,0.272408657,0.312403898,0.76998366,0.21931006,-0.368276775,-0.030088957,0.53590821,-0.473838079,0.211055935,-0.114350028,0.093426614,-0.242672882,-0.052224221,0.068761569,0.031047367,-0.085992993,0.286853766,0.212135141,0.321408912,0.820323462,0.181263319
"FGR",-0.333571963,0.271827121,0.005504975,1.721988588,0.150594899,-0.004933139,-0.3349205,0.378875265,-0.05200083,0.843690608,0.185597812,-0.063723535,0.17734208,0.90896618,0.123609082,0.270170955,0.072461148,-0.185698016,0.033267297,0.993436547,-0.098820937,0.869983306,-0.437260992,-0.538771306,-0.272833073,0.15642827,-0.430486392,0.126791076,-0.275882656,-0.179119221,0.848561843,0.626969127,-0.145320028,-0.024514149,0.026693106,-0.213633882
"FLRT1",1.361069977,-0.161442597,-0.699206118,1.515232478,-0.404319151,-0.922626513,-0.127709558,-0.610126293,-0.291498919,-0.780238464,-1.305296076,1.568196246,0.226616447,0.703344445,-0.604845809,-1.370659356,-0.160754919,0.167953163,-0.032925629,-0.883786768,0.569987986,-1.247524541,0.44863444,1.649979752,1.262120977,0.451707109,0.457775388,-0.02394145,1.01418469,0.167324594,1.355622321,0.406194837,0.218801151,-0.781024009,0.145871039,1.025631125
"FLT3",0.614896689,-0.654422448,-0.893288651,0.827283157,-1.359331731,-1.479047231,-0.810403413,-0.082264303,-0.362463608,-1.217883347,-1.542847721,0.189287079,-0.521337107,0.725314442,-1.342086287,-0.495039623,-0.557733907,0.119800406,-1.340279929,-0.068932274,1.116893886,-1.175705148,-0.28981836,0.281286411,1.677509873,0.184553458,-1.327254901,-1.215985957,-0.499556233,0.480117039,0.631866307,0.640429955,0.743601875,-0.333873066,0.301585575,0.01340653
"FLT3LG",-0.229761776,0.10770457,0.17621062,-0.667826358,0.13220974,0.313690191,0.078072185,0.062042932,0.018921609,0.306487733,0.287980763,-0.57600661,-0.226107837,-0.37101556,0.211944828,0.325145832,0.059771905,0.152073743,0.24064639,0.038289025,-0.188711219,0.174426138,0.153114875,-0.341291485,-0.73498387,-0.158694489,-0.127333977,-0.016726457,-0.158872684,-0.17874359,-0.413343562,-0.204638897,-0.071635469,0.151715807,-0.135308197,-0.263623983
"FLT4",-0.27032909,0.360992367,0.21102882,-0.723290521,-0.029651947,0.396536327,0.078167879,-0.069801892,0.341131571,0.348887345,0.311906385,-0.35492937,0.31568577,-0.399463712,0.514204223,0.394909694,0.120837845,0.036188032,0.161238484,0.235539496,-0.127477024,0.675746112,0.022918726,-0.231914551,-0.347889158,-0.282620751,0.203169571,0.066764734,0.134773796,-0.093688397,-0.832315177,-0.298190851,0.062129617,0.151102017,-0.054589644,0.061443951
"FN1",0.335231622666667,-1.67316633033333,-1.12657600166667,0.553302217666667,0.156455224666667,0.277960500666667,0.190317753333333,-0.414014031,0.281255497,-0.216531345333333,1.309913558,1.646670451,-0.348495406666667,0.996326704,-0.449883045,0.758069908,0.202426860666667,2.312956253,-0.0776065576666667,-1.440982981,-0.447416147,0.389786266333333,-1.31004121366667,0.442785503,-0.825929274333333,-0.510555463333333,-1.52011043433333,-0.365747979333333,-0.959467607,-0.80171942,-0.509189512333333,0.392589498666667,0.268281522333333,-0.216222298666667,2.960013604,0.116184411
"FOLH1",0.011099148,0.174057531,0.262803711,-0.396059354,0.2240605,0.254978675,0.10600713,0.059531328,-0.124635723,0.248278679,-0.010691169,-0.173429046,-0.060287812,-0.435384965,0.412946231,0.016545608,0.049565714,0.317738962,0.066589528,-0.269216591,-0.395446653,0.023000454,0.040926901,-0.00281185,-0.223879343,-0.169954301,0.271887778,0.165693856,-0.078232988,-0.050051079,-0.721098156,-0.103785008,0.045875574,0.194171217,0.072071657,-0.06518588
"FRZB",-0.153492751,0.343917669,0.407315542,-0.230377686,0.331746854,0.299415907,0.250401943,0.097082325,0.483852068,0.489330392,0.19200833,-0.880930075,0.226237782,-0.140863597,0.623905958,0.460492257,0.160533595,0.304998344,0.391271544,0.046154271,-0.040858399,0.761668595,0.221804524,-0.138890847,-0.075903057,-0.144627888,0.222387185,0.355986969,0.017145024,0.163903348,-0.4641334,0.053075199,0.044255376,0.428582466,0.108846092,0.054718545
"FST",1.264833823,-0.091732323,-0.561319197,1.315715799,-0.396939951,-0.65484351,-0.249472287,-0.545517544,-0.210489507,-0.746696566,-1.069851109,1.232867884,0.127186477,0.591602467,-0.608519442,-1.123436895,-0.101179848,0.101397899,-0.170161994,-0.613805001,0.487374441,-0.949467883,0.325590018,1.326047056,0.986099578,0.274400064,0.290621854,-0.098411175,0.715516343,0.068741602,1.146275989,0.434150687,0.209769038,-0.544555034,0.125892461,0.793450594
"FSTL3",-0.33689995,0.017964219,0.171085911,-0.721910579,-0.044346736,0.503317567,0.103922627,0.097147012,0.124614268,0.370181715,0.110106818,-0.758804501,0.105163149,-0.663112044,0.416496,-0.001927712,0.14869255,-0.008887309,0.366690054,-0.23217781,-0.350412382,0.594621865,0.006225489,-0.222440178,-0.111679135,-0.493077384,0.35570129,0.07662765,0.022672547,-0.265596015,-0.970096116,-0.578295363,-0.454147184,-0.022967975,-0.335226674,-0.500953633
"FTH1",2.184938194,0.150680154,-0.206415569,2.778470595,-0.581915625,-1.682820134,1.360537828,-1.360289894,0.625000774,-3.04620983,-1.406455616,3.893615365,1.724560901,-0.760329587,-0.588038863,-1.394145818,-1.9482163,0.494504303,1.917839345,-3.67949467,0.01298759,-3.272724248,2.265157843,1.803328657,-0.532609617,1.521385391,2.478314715,0.140085731,2.147793507,0.332223848,3.785402639,-0.240543873,-0.50742719,-1.936990202,-0.001146968,2.323188105
"FUT3",0.096909457,0.141969008,0.195045436,0.051203677,0.16089375,0.268591254,0.056413309,-0.031951468,-0.11251508,-0.161603477,-0.19337535,-0.247476366,-0.018681971,-0.229535455,-0.019503112,-0.137094886,-0.024512085,-0.107463697,0.140820583,-0.071742314,-0.237730971,0.041263604,0.113194393,-0.065567921,-0.707508603,-0.313463833,0.48783576,-0.169809756,-0.026840438,-0.075484073,-0.331023129,-0.335467149,-0.056011681,-0.245044914,-0.084168846,0.031420061
"FUT5",-0.211012111,0.235519258,0.457774703,-0.921023033,0.75537677,1.32142871,0.443436561,0.205516395,0.066694605,0.449477666,0.684095961,-1.173281827,0.315786558,-0.566320879,0.572205846,0.0547441,0.384274487,0.104136876,0.916086436,0.196303774,-0.22560944,0.86117011,-0.14405068,-0.417122576,-0.347657244,-0.23841287,0.882778982,0.076651012,0.005540298,0.37002339,-1.278041514,0.141151629,0.3747717,0.326883273,0.544437052,-0.026854358
"FYN",-0.475138652,0.211127101,-0.116284811,0.543498657,0.278788051,0.271697855,-1.261233592,0.590052204,-0.663589171,1.195915087,-1.863498,-0.076139815,0.392878874,2.481195321,0.023105779,-0.19451708,-0.274459047,-1.339359935,-0.005195228,2.649119114,0.483255541,2.488620865,-0.681487748,-0.307316492,2.705727171,0.379222093,-0.703821405,1.264833304,-0.419504498,-0.268420065,2.417927548,1.413853407,-0.605187336,-0.499930139,0.281607655,-1.134485752
"GAPDH",0.695089618,0.025752035,-0.842420287,0.656622979,-0.918213703,-0.559481487,-0.810057765,-0.111101996,-0.326441109,-0.876867866,-1.505896092,1.060894481,-0.088057051,0.539679958,-0.699716026,-1.517070324,0.181103604,-0.27806118,-0.187602282,-0.075969578,0.658144483,-0.877770896,-0.016569248,1.092396815,2.181251741,0.397428143,0.214568083,-0.21511986,0.406034064,-0.093997371,0.74574792,0.642019795,0.064078302,-1.17752031,0.127662409,0.41908849
"GAS1",0.720869972,0.047060754,0.021323105,0.569695744,0.022521023,-0.029712826,0.27691533,-0.219566377,-0.044468764,-0.22223918,-0.173349352,0.590512116,0.162793955,-0.037552538,-0.06977301,-0.401124666,-0.143982501,0.293019811,-0.034370538,-0.709019686,-0.136420887,-0.467903178,0.235980774,0.777842496,-0.015122505,0.442586579,0.501852375,0.075417621,0.40945533,-0.04700616,-0.132886058,-0.08279135,0.050507902,-0.118674776,0.069642825,0.365179568
"GCG",-1.992991973,-0.104144736,0.098584534,-0.44546042,-1.253117679,0.459286839,0.874414033,0.410825919,0.021276704,-0.716658088,0.913995848,0.483772179,0.86360129,-1.616414415,-0.642540323,0.506844471,0.27135792,0.189827415,0.492270603,0.026723525,0.394940982,0.461428114,-0.485204481,-0.688216463,-0.893305961,-1.488631387,-0.054278468,-0.302630622,-0.347093909,-2.079502869,-1.743054351,-0.884715396,-1.285811583,-0.798957805,0.129991359,-0.054622157
"GCKR",0.05442803,-0.05753874,-0.037396065,-0.081998358,-0.165881847,0.127175886,0.052735626,0.054848999,-0.14749842,0.037795804,-0.013229325,-0.266416465,-0.071663297,-0.040469044,-0.024352797,0.011729293,0.070010883,0.162045867,0.230100919,-0.121852211,-0.235472515,-0.059318748,-0.022942749,-0.085777749,-0.561233655,-0.665584857,0.059203815,-0.128092451,-0.042467463,-0.110327022,-0.155859563,-0.144895135,-0.045951815,-0.880007933,-0.012804712,-0.312991582
"GDF11",0.877971023,-0.05292332,-0.141370928,0.511532435,-0.647167196,-0.127700597,-0.279776564,-0.495075319,0.170147006,-0.277486889,-0.662619655,1.200212839,0.21279944,0.43975013,-0.265019553,-0.462172935,0.026343307,-0.050584232,0.020134137,-0.38057696,0.00868674,-0.205397479,0.302688602,0.820565568,0.069205674,-0.155289803,0.249364286,-0.043856122,0.549624366,-0.094285165,0.531544294,-0.447960008,-0.53596017,-0.257528885,-0.103840017,0.539262277
"GDF2",-0.541594581,-0.253196189,0.465233187,-0.771840635,-0.304145577,0.536212499,0.43683076,0.004067513,-0.324514276,0.149799015,-0.16635272,0.025927865,0.080746186,-0.701364788,-0.233154401,0.228426707,0.215357774,-0.110123009,0.351056772,-0.269201975,-0.592397831,0.286536643,-0.039078271,-0.300231369,-0.566645327,0.005886488,0.250023641,0.199315548,-0.128580022,-0.342167849,-0.998030036,-0.928294052,-0.790423649,-0.427307907,0.27102614,-0.242083412
"GDF5",1.248946687,0.320432742,-0.188567992,0.824365841,0.201870719,0.42061237,0.217177344,0.031587166,-0.189479506,-0.323573475,-0.592620647,0.63841632,0.063997133,0.184059286,0.13590272,-0.632316888,-0.077537987,0.512458071,0.698693713,-0.585107532,-0.261701326,-0.339378906,0.397248831,0.873945323,0.540395365,0.036153713,0.536988717,0.177446589,0.332546181,0.061815743,0.669794992,-0.189736502,-0.031143483,-0.433875637,0.35709093,0.153223292
"GDF9",0.059558998,0.169044881,0.000896796,0.938770855,0.000510658,-0.628043356,0.14528581,0.070429882,-0.076502072,-0.034591948,0.170684515,-1.703666702,-0.131963117,0.355974589,-0.406013039,-0.051927792,-0.020477187,0.027847674,0.005931477,-0.017140433,0.067514772,-0.603991204,0.170968823,0.609042803,-0.524239728,0.076402783,0.089197376,-0.205170176,0.288700642,0.156099012,0.32701394,0.533631509,0.378464271,-0.019029525,0.209383725,0.100926688
"GDI2",1.473574938,0.004274712,-0.811086687,1.640578021,-0.744370009,-1.067215052,-0.480664502,-0.592467336,-0.206353666,-1.304526531,-1.093517944,2.242837147,0.241471552,0.686205629,-0.716256595,-1.45124782,-0.161150748,0.086983203,0.184449944,-1.277421357,0.730949639,-1.990571758,0.545734458,1.830978522,1.380495307,0.674099952,0.728937461,-0.239827519,1.264529642,0.213098728,1.814911698,0.601606477,0.219832222,-1.100443647,-0.16152718,1.007926681
"GFAP",0.023124725,0.016627252,-0.050001767,-0.248846486,0.059475744,-0.027365506,0.154986897,-0.256166233,0.067985048,0.098707094,0.106266102,-0.228670918,0.018577153,-0.08964062,0.012980634,0.13672968,0.149109651,0.171468181,-0.040038893,-0.01248662,0.241712665,0.027951375,0.480120947,-0.17781228,-0.548354842,-0.448094527,-0.161073544,-0.061914118,-0.009601448,0.074508483,-0.123731083,0.011240509,0.204985045,0.062852575,0.050510007,0.044850741
"GFRA1",-0.554464898,0.200098603,0.499550935,-1.276195818,-0.309214957,0.58651867,0.132889415,-0.234955267,-0.081280147,0.359792139,-0.051906249,-0.789104463,0.006192303,-0.782697143,0.649924555,0.632241937,0.002626549,-0.140860402,0.099074853,0.123587064,-0.530155525,0.557060122,-0.14568932,-0.343619328,-0.518519376,-0.467298583,0.195078628,-0.101007944,-0.048783928,-0.079550417,-1.194548788,-0.429772493,-0.439629414,-0.439527303,-0.347583165,-0.234642599
"GFRA2",-0.111664611,0.054396024,0.196340527,-0.007865818,0.293032898,0.327008592,0.404386373,0.095237722,0.201787936,0.406261479,0.611755139,-0.519565429,0.095708434,-0.251446285,0.495367298,0.41147968,0.105643228,0.267704957,0.473347034,-0.089815686,0.091711992,0.548785692,0.091712531,-0.103953698,-0.032647997,-0.061409541,0.321672313,0.295082058,0.142952409,0.075217511,-0.617190331,0.0885399,-0.065458291,0.425304933,0.052031251,0.510238994
"GFRA3",0.529130629,-0.167269503,-0.313883846,0.870332739,-0.167095531,-0.129644143,0.108771121,-0.009330072,-0.269570378,-0.235567383,-0.444512089,0.456400873,0.139511308,0.499701328,-0.467864408,-0.417625454,-0.19759996,0.448777711,-0.114898202,-0.799460155,-0.179130619,-0.533212762,0.031106024,0.635796336,0.360142228,0.065241474,0.278953652,-0.093675522,0.148127391,0.04083936,0.284950587,0.167559708,0.498196866,-0.254087383,0.51979524,0.155918143
"GHR",-0.64100265,-0.168912228,0.256574006,-0.685999162,-0.76627573,0.20402689,-0.45846659,-0.324948858,-0.184429899,-0.086743393,-0.448536304,0.602279915,-0.519865804,-0.747949454,-0.357856069,-0.76555695,0.15303286,-0.667624104,-0.950634368,-0.04744979,-0.564477503,-0.643363609,-0.502757129,-0.721342685,-0.854367994,-0.579618246,-0.012118393,-0.755642478,-0.926968145,-0.376660062,-0.443957857,-0.681014895,-0.462135616,-0.950134092,-0.35753562,-0.469230234
"GNLY",-0.000381982,0.496212288,0.293997849,-0.05975344,0.631685201,0.42638705,0.431377757,0.434937057,0.446860417,0.68040226,0.565879124,1.250241073,0.370364012,-0.193737615,0.804082051,0.531866978,0.056054499,0.314021516,0.198171337,0.178005428,-0.070005044,0.564470252,0.063491821,-0.319963045,0.004842494,0.088886791,0.278033833,0.586434889,0.18472753,0.289525265,-0.604675472,-0.031786858,0.539360343,0.631792664,0.074465626,-0.256164851
"GNS",-0.568658794,-0.617463953,0.027543992,-1.06295179,-1.007911868,0.389514219,0.070072297,-0.400195791,-1.293254556,-0.045330017,-0.600924461,-0.470733642,-0.397212316,-0.967437896,-0.609599364,-0.559784326,-0.149872218,-0.982944177,-0.159918529,-0.420140667,-1.842803587,-1.365865973,-0.584370244,-0.661524168,-0.672611498,-0.35247447,0.011014658,-0.354540451,0.132711229,-0.034565083,-1.261072328,-0.793741752,-0.444594249,-1.129345479,-0.204802147,-0.558377548
"GOT1",-0.2662989,-0.297903364,0.031518021,-0.708727792,-0.015537844,0.169838781,0.106126754,0.002938587,-0.13126039,0.094673044,0.338926746,-0.718572006,-0.056294434,-0.469131768,0.013084767,0.430196585,0.179402841,-0.032350982,0.143301925,0.076736102,-0.323591416,0.069861246,-0.374202108,-0.488395663,-0.063596255,-0.113087889,-0.059272928,0.155171339,-0.218158433,-0.196849388,-0.25448352,-0.287867381,0.095604416,-0.540358032,-0.203473075,-0.22078958
"GP1BA",-0.042253059,0.035328031,0.136640971,0.100170039,0.623616485,0.033080765,0.43833118,0.212403453,0.164316662,0.23306136,0.116419638,-0.487971264,0.494782924,0.270375435,0.177720071,0.385560883,0.141729775,0.185698112,0.394452792,0.180333747,0.189119323,0.562147796,-0.047944578,-0.160317558,0.104780337,-0.073059971,0.007012779,0.094832834,0.098281974,0.146071514,-0.239220742,0.187906841,0.559700751,0.704656865,0.139570189,0.10968839
"GP6",-0.307958422,-0.205649448,-0.930695494,1.551899301,-0.51993327,-1.048258745,-0.920924985,0.669245453,-0.134278707,-0.120141705,-1.402563372,-0.707466818,-0.142339333,1.117019976,-0.643996755,-0.071459691,0.137499459,-0.313493604,-0.382515039,1.624700966,0.916794853,0.277107742,-0.447531555,-0.687579519,2.204596944,-0.236608374,-1.555499327,-0.261823796,-1.029523001,0.314526993,1.035703435,1.018984491,0.719047993,-0.176603748,0.178088694,-0.344464657
"GPC2",-0.27315258,-0.079343431,-0.048255169,0.609312362,0.234287352,0.387872792,0.16251841,0.252037334,-0.048600639,0.138915429,0.209957354,-0.257888143,0.073704647,0.135455248,-0.268488836,0.218834602,0.030128105,0.123317618,-0.104617003,0.294895136,-0.146347526,0.197244391,-0.020662993,-0.312914351,-0.205077209,-0.314724302,-0.112649591,0.110102794,-0.14839184,-0.042132629,0.026195458,0.074460845,0.081158748,0.164682009,0.166687665,-0.142146898
"GPC3",-0.462697949,0.312282304,0.554821964,-1.337577006,-0.249417479,0.547187221,0.429125213,-0.106764786,0.378345543,0.468811922,0.186296486,-0.862816244,0.007098939,-1.10305702,0.016407386,0.441725709,0.03880378,0.073380337,0.039739877,0.285818954,-0.120354561,0.054648533,-0.030495948,-0.476012143,-0.856970767,-0.210588601,0.409206303,0.387456525,0.134996214,0.034014032,-0.807159801,-0.590666739,-0.498262442,-0.341943753,-0.038565106,-0.299045132
